"Half","Symbol","Total Revenue","Cost of Revenue","Gross Profit","Operating Expenses","Research Development","Selling General and Administrative","Total Operating Expenses","Operating Income or Loss","Total Other Income/Expenses Net","Earnings Before Interest And Taxes","Interest Expense","Income Before Tax","Net Income From Continuing Ops","Cash And Cash Equivalents","Short Term Investments","Net Receivables","Inventory","Other Current Assets","Total Current Assets","Long Term Investments","Property Plant and Equipment","Goodwill","Intangible Assets","Accumulated Amortization","Other Assets","Total Assets","Accounts Payable","Short/Current Long Term Debt","Total Current Liabilities","Long Term Debt","Deferred Long Term Liability Charges","Total Liabilities","Common Stock","Retained Earnings","Total Stockholder Equity","Net Tangible Assets","Depreciation","Changes In Accounts Receivables","Changes In Liabilities","Changes In Inventories","Changes In Other Operating Activities","Total Cash Flow From Operating Activities","Capital Expenditures","Investments","Other Cash flows from Investing Activities","Total Cash Flows From Investing Activities","Dividends Paid","Sale Purchase of Stock","Net Borrowings","Total Cash Flows From Financing Activities","Effect Of Exchange Rate Changes","Change In Cash and Cash Equivalents","name","isin","treat","cnt","avg","shares","trades","turnover"
"1","EURN","9000","29000","-20000","42000","0","0","42000","-33000","0","-33000","-4000","0","-23000","74000","0","67000","0","51000","192000","23000","0","0","0","0","0","1921000","32000","975000","245000","837000","0","1120000","425000","423000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","EURONAV","BE0003816338","0","129","4.77","76544","139.47","397277.91"
"1","EXM","89000","112000","-23000","131000","0","0","131000","-42000","0","-42000","-12000","0","8000","216000","13000","77000","0","20000","325000","7000","0","0","0","0","0","1189000","53000","659000","251000","504000","0","782000","299000","161000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","EXMAR","BE0003808251","0","130","9.44","92052.09","308.98","896552.71"
"1","FLUX","156000","53000","103000","112000","0","0","112000","44000","0","44000","-13000","0","20000","131000","144000","70000","47000","17000","408000","0","0","0","0","0","0","2858000","38000","1588000","167000","1484000","0","2067000","60000","733000","0","0","36000","-7000","0","-1000","-4000","38000","-25000","0","0","-20000","0","0","0","-67000","0","-49000","FLUXYS BELGIUM D","BE0974265945","0","129","28.91","3142.64","22.72","90523.47"
"1","GBLB","1135000","420000","715000","804000","0","0","804000","331000","0","331000","0","0","315000","1075000","183000","616000","620000","158000","3227000","12435000","0","0","0","0","0","18958000","411000","3524000","1000000","3427000","40000","5267000","4469000","6306000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GBL","BE0003797140","0","130","62.72","88553.69","1047.78","5540704.9"
"1","ABI","11711000","4482000","7229000","7526000","0","0","7526000","4185000","0","4185000","-1035000","0","3353000","9839000","0","4471000","2950000","691000","18690000","380000","0","0","0","0","0","141666000","9834000","49126000","25627000","41142000","0","86358000","19343000","31004000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","AB INBEV","BE0003793107","0","130","73.03","1351547.25","9284.38","98465731.26"
"1","ACKB","166000","56000","110000","126000","0","0","126000","40000","0","40000","-19000","0","111000","767000","665000","2323000","137000","59000","3951000","1223000","0","0","0","0","0","10888000","1053000","2034000","5338000","1258000","1000","7610000","114000","0","0","0","3000","1000","0","2000","94000","139000","-11000","0","0","-190000","0","0","0","80000","0","253000","ACKERMANS V.HAAREN","BE0003764785","0","130","74.42","26469.48","527.78","1985172.25"
"1","AED","10000","2000","8000","3000","0","0","3000","7000","0","7000","-3000","0","6000","2000","0","4000","0","0","6000","1000","0","0","0","0","0","739000","8000","349000","57000","306000","0","362000","313000","19000","0","0","0","0","0","0","0","7000","0","0","0","-24000","0","0","0","17000","0","1000","AEDIFICA","BE0003851681","0","130","50.12","7141.02","104.32","359965.36"
"1","AGS","3527000","3001000","526000","3408000","0","0","3408000","120000","0","120000","-27000","0","102000","2213000","0","1366000","0","2350000","6240000","63684000","0","0","0","0","0","95736000","6301000","4444000","11657000","3061000","123000","86314000","4582000","570000","0","0","-302000","0","0","0","587000","859000","-31000","0","0","-483000","0","0","0","-336000","-1000","39000","AGEAS","BE0974264930","0","130","29.46","475598.02","2710.91","14021401.3"
"1","AGFB","739000","511000","228000","612000","0","0","612000","127000","0","127000","-5000","0","44000","126000","0","788000","542000","46000","1502000","11000","0","0","0","0","0","2568000","239000","343000","803000","319000","3000","2200000","397000","664000","0","0","0","-15000","0","50000","-57000","50000","-12000","0","0","-10000","0","0","0","-15000","-3000","22000","AGFA-GEVAERT","BE0003755692","0","130","1.62","301920.25","160.45","491682.87"
"1","ASC","7000","0","7000","2000","0","0","2000","5000","0","5000","-2000","0","3000","0","0","0","0","4000","4000","0","0","0","0","0","0","485000","0","301000","146000","155000","0","301000","184000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ASCENCIO","BE0003856730","0","118","50.8","527","5.53","26730.87"
