myscore	sp	random	zscore	investment	size	q	tangibility	cashflow	leverage	sic	at	fyear	gvkey	d_myscore	d_sp	d_random	d_zscore	d_investment	d_size	d_q	d_tangibility	d_cashflow	d_leverage	d_sic	d_at	d_fyear	d_gvkey
0.03138901	0	0.1082173	1.667112554	0.149234113	9.534850923	1.283315574	0.384768202	0.197600771	0.319041035	2070	13833.534	1998	1722	0.03138901	0	0.1082173	1.667112554	0.149234113	9.534850923	1.283315574	0.384768202	0.162584125	0.319041035	2070	13833.534	1998	1722
0.02495655	0	0.6374447	2.697332331	0.550539745	2.365184235	1.528160812	0.122863047	1.681059863	0.266203269	3523	10.646	2004	1783	0.02495655	0	0.6374447	2.697332331	0.550539745	2.365184235	1.528160812	0.122863047	1.992820513	0.266203269	3523	10.646	2004	1783
0.03032877	0	0.133496	2.744740946	0.19837233	8.660600655	0.76435973	0.192687576	0.325534079	0.011436493	2820	5771	2008	1794	0.03032877	0	0.133496	2.744740946	0.19837233	8.660600655	0.76435973	0.192687576	0.351578947	0.011436493	2820	5771	2008	1794
0.02862072	0	0.2524533	2.404951152	0.533370044	3.777508272	1.681850161	0.571853479	0.408480176	0.287230878	3640	43.707	1998	1823	0.02862072	0	0.2524533	2.404951152	0.533370044	3.777508272	1.681850161	0.571853479	0.361750368	0.287230878	3640	43.707	1998	1823
0.02765423	0	0.043225	2.941839856	0.462572474	5.164242969	2.939813442	0.235110489	0.845107375	0.190177525	3640	174.905	2011	1823	0.02765423	0	0.043225	2.941839856	0.462572474	5.164242969	2.939813442	0.235110489	0.617706366	0.190177525	3640	174.905	2011	1823
0.02701545	0	0.7496978	1.500521937	0.13205517	3.931119501	0.965571286	0.19914057	-0.113763083	0.035279805	3823	50.964	1996	1877	0.02701545	0	0.7496978	1.500521937	0.13205517	3.931119501	0.965571286	0.19914057	0.358462676	0.035279805	3823	50.964	1996	1877
0.02699393	0	0.8392925	3.603594279	0.715643275	3.749786389	2.544087552	0.197591268	1.319627193	0	3823	42.512	1995	10304	0.02699393	0	0.8392925	3.603594279	0.715643275	3.749786389	2.544087552	0.197591268	0.996629543	0	3823	42.512	1995	10304
0.02690963	0	0.3095549	-5.691846826	0.17563373	2.16286315	2.213468261	0.504829807	-0.969994827	0.337396504	2834	8.696	2002	106261	0.02690963	0	0.3095549	-5.691846826	0.17563373	2.16286315	2.213468261	0.504829807	-1.445970459	0.337396504	2834	8.696	2002	106261
0.02875172	0	0.064081	1.408140042	0.13740928	7.061988527	1.210698317	0.216213576	0.308782579	0.21491254	2844	1166.763	1998	2267	0.02875172	0	0.064081	1.408140042	0.13740928	7.061988527	1.210698317	0.216213576	0.511823977	0.21491254	2844	1166.763	1998	2267
0.03010654	0	0.3719541	1.621950901	0.176779057	10.45783446	2.290506055	0.124156158	1.094464313	0.365267721	2111	34816.074	2006	1932	0.03010654	0	0.3719541	1.621950901	0.176779057	10.45783446	2.290506055	0.124156158	0.768464113	0.365267721	2111	34816.074	2006	1932
