myscore	sp	random	zscore	investment	q	size	tangibility	cashflow	leverage	sic	at	d_myscore	d_sp	d_random	d_zscore	d_investment	d_q	d_size	d_tangibility	d_cashflow	d_leverage	d_sic	d_at
0.02561856	1	0.016217	3.239511271	0.318306011	0.934508901	2.69280119	0.093481351	-7.922453704	0.019359643	3842	14.773	0.000026589999999999947	-1	0.28008340000000004	-6.936575448	0.644656952	2.2113354419999998	0.14223402299999988	-0.011982907000000001	-9.150595781	-0.019359643	0	2.257999999999999
0.02561856	1	0.016217	3.239511271	0.318306011	0.934508901	2.69280119	0.093481351	-1.489932886	0.019359643	3842	14.773	0.000030180000000001178	-1	0.3037766	-4.624015051	-0.196280386	-0.01953171999999992	-0.006247049000000171	0.0019481159999999997	-2.7180749630000003	-0.019359643	0	-0.09200000000000053
0.03134656	1	0.0107255	1.059878815	0.507309234	0.764851011	7.013638458	0.582011025	0.374953218	0.173023643	3674	1111.692	0.000008029999999999149	-1	0.5734779	0.05335625399999988	0.22961859499999993	0.260455568	0.23901063899999997	0.08073829499999996	0.22724245599999998	0.24454704500000002	0	300.1479999999999
0.03134656	1	0.0107255	1.059878815	0.507309234	0.764851011	7.013638458	0.582011025	0.14285683	0.173023643	3674	1111.692	0.000009280000000000399	-1	0.1316455	-0.663569858	-0.3370653090000001	0.7813325799999999	1.0052816620000007	-0.012490023999999988	-0.004853932000000005	0.21301537399999998	0	1926.203
0.03134656	1	0.0107255	1.059878815	0.507309234	0.764851011	7.013638458	0.582011025	0.263110147	0.173023643	3674	1111.692	0.000010009999999997798	-1	0.8177983999999999	-0.422664562	-0.29225213800000005	0.44598653200000005	2.426846898	-0.228748646	0.11539938500000002	0.05761032299999999	0	11476.133000000002
0.03134656	1	0.0107255	1.059878815	0.507309234	0.764851011	7.013638458	0.582011025	0.263956403	0.173023643	3674	1111.692	0.000015789999999994697	-1	0.4837127	-0.17921342000000007	-0.29607598	0.5630449989999999	0.737201389	-0.06346569499999999	0.11624564100000001	0.027246807999999983	0	1211.8310000000001
0.03183555	1	0.0050036	1.122414292	0.271450159	1.516702842	8.384278294	0.576384209	0.378832031	0.336914059	3674	4377.698	0.000005370000000004538	-1	0.0543279	0.2397148870000001	-0.041300503000000016	0.10797509900000013	0.0707537079999998	-0.03963594199999998	0.19078265100000003	-0.076311295	0	320.95899999999983
0.03183555	1	0.0050036	1.122414292	0.271450159	1.516702842	8.384278294	0.576384209	0.576396123	0.336914059	3674	4377.698	0.000006960000000000299	-1	0.4166628	1.156048865	0.333070777	-0.27311270899999984	-0.5821908169999999	-0.05947290900000002	0.388346743	-0.281262962	0	-1931.996
0.03183555	1	0.0050036	1.122414292	0.271450159	1.516702842	8.384278294	0.576384209	0.0726212	0.336914059	3674	4377.698	0.000010519999999999974	-1	0.21672070000000002	-0.904672755	-0.14363672100000002	-0.7051264979999999	0.9017159689999996	-0.16504511899999996	-0.11542817999999999	-0.16930093999999998	0	6408.1939999999995
0.03183555	1	0.0050036	1.122414292	0.271450159	1.516702842	8.384278294	0.576384209	0.328381357	0.336914059	3674	4377.698	0.00001612000000000141	-1	0.1502606	0.10352609899999998	0.09132333099999995	-0.21345009299999984	0.661837224000001	-0.06462687499999997	0.140331977	0.006651773999999999	0	4107.814
0.02604927	1	0.0218825	2.311969425	0.160878809	3.683856622	2.848912987	0.244252707	0.290422001	0.241241531	3812	17.269	0.0000023000000000002185	-1	0.7096555	0.12433818600000013	-0.06533589800000002	-1.5649285210000001	0.09473620699999996	-0.035983020000000004	-0.09795503700000002	-0.061310006	0	1.716000000000001
0.02604927	1	0.0218825	2.311969425	0.160878809	3.683856622	2.848912987	0.244252707	-0.25470477	0.241241531	3812	17.269	-0.000013920000000000599	-1	0.1295134	-0.59039233	0.110155742	-2.54560417	1.2679429490000005	-0.06159455700000002	-0.643081808	0.17144627699999998	0	44.097
0.02604927	1	0.0218825	2.311969425	0.160878809	3.683856622	2.848912987	0.244252707	0.36157559	0.241241531	3812	17.269	-0.000014059999999999767	-1	0.5626738	-0.677531141	-0.08140975200000002	-2.7050263489999997	1.101330231	-0.05621851900000002	-0.026801448000000005	0.14295035299999997	0	34.679
0.02604927	1	0.0218825	2.311969425	0.160878809	3.683856622	2.848912987	0.244252707	0.370915345	0.241241531	3812	17.269	-0.000018910000000000454	-1	0.34987270000000004	-0.734358552	-0.12170433900000001	-2.245235515	0.05107901400000037	0.01353314099999997	-0.017461693	0.04966855999999997	0	0.9050000000000011
0.02771146	1	0.0270897	4.100072487	0.276890602	1.620627368	3.755743394	0.309544966	1.36306627	0	3841	42.766	7.700000000006313e-7	-1	0.9347333	-3.1973762000000003	0.278132279	0.09736811599999995	2.9314013730000004	-0.182161792	0.885092702	0.286772673	0	759.263
0.02771146	1	0.0270897	4.100072487	0.276890602	1.620627368	3.755743394	0.309544966	0.777113707	0	3841	42.766	0.0000022800000000003373	-1	0.7753644	-1.4411168930000002	-0.172752234	0.5461894950000001	2.046205783	-0.21169457399999997	0.299140139	0.004091327	0	288.178
0.02771146	1	0.0270897	4.100072487	0.276890602	1.620627368	3.755743394	0.309544966	0.554766581	0	3841	42.766	0.0000033099999999994245	-1	0.641258	0.40160148699999976	-0.232699637	-0.23515037900000002	-0.002645783000000179	0.00039806300000000405	0.07679301299999997	0	0	-0.11299999999999955
0.02771146	1	0.0270897	4.100072487	0.276890602	1.620627368	3.755743394	0.309544966	0.854214506	0	3841	42.766	0.000004859999999998893	-1	0.9039206	-1.0298598350000003	-0.18610370799999998	0.33790518299999994	1.5676421240000002	-0.159030769	0.376240938	0.009533005	0	162.311
0.03381708	1	0.004578	1.724330562	0.179337472	1.142248583	10.2909584	0.564296623	0.200561463	0.151603598	2911	29465	0.00002487999999999796	-1	0.1907158	-0.426462036	-0.041484961999999986	-0.20112571700000004	-0.7962473069999998	0.09556835799999996	0.0023560669999999895	0.01891905399999999	0	-16175.745
0.03381708	1	0.004578	1.724330562	0.179337472	1.142248583	10.2909584	0.564296623	0.603996157	0.151603598	2911	29465	0.00002972000000000391	-1	0.1497195	0.44717648100000007	0.251045259	1.1604931800000002	0.4838159500000003	-0.07149803000000005	0.405790761	-0.056221904	0	18334.686
0.03381708	1	0.004578	1.724330562	0.179337472	1.142248583	10.2909584	0.564296623	0.23885535	0.151603598	2911	29465	-0.000042260000000002296	-1	0.7438838	1.4151107710000002	0.08764146299999998	0.51630903	-1.37556281	0.12150370299999991	0.04064995399999999	-0.037793355	0	-22019.273
0.03381708	1	0.004578	1.724330562	0.179337472	1.142248583	10.2909584	0.564296623	0.25572912	0.151603598	2911	29465	0.000046900000000002495	-1	0.1464036	1.0761921490000002	0.198154997	0.8175460910000001	-1.028419487999999	0.11052531099999996	0.05752372399999997	-0.006487147999999998	0	-18929.150999999998
0.02947331	1	0.0163813	1.954482053	0.180365491	1.420476744	8.659404306	0.209069933	0.66745283	0.339654066	2085	5764.1	-0.000002849999999998687	-1	0.7585168999999999	0.8354981060000002	-0.012912660999999992	1.5658921850000003	-1.0505336770000007	0.0076959399999999845	0.583304934	-0.23697549499999998	0	-3748.1000000000004
0.02947331	1	0.0163813	1.954482053	0.180365491	1.420476744	8.659404306	0.209069933	0.645868064	0.339654066	2085	5764.1	-0.00002000999999999739	-1	0.5602195	-0.3803016779999999	-0.072363586	0.06454943600000007	0.9340396759999994	-0.076232453	0.5617201679999999	0.057406261000000014	0	8904.199999999999
0.02947331	1	0.0163813	1.954482053	0.180365491	1.420476744	8.659404306	0.209069933	-0.589427628	0.339654066	2085	5764.1	0.000049790000000000945	-1	0.3206965	-0.554645678	0.013669691000000012	-0.012095747999999906	0.10731727499999977	-0.025731665000000015	-0.6735755240000001	-0.052172181999999956	0	653
0.02947331	1	0.0163813	1.954482053	0.180365491	1.420476744	8.659404306	0.209069933	0.789893617	0.339654066	2085	5764.1	-0.00008470999999999826	-1	0.063118	0.8158119130000001	0.07495365800000003	1.0820024719999999	-1.089476651000001	0.009599483999999991	0.705745721	-0.21381600499999998	0	-3825.1000000000004
0.02812478	1	0.0159536	3.15812371	0.238723959	1.702691114	5.830388694	0.240620163	0.704388317	0.196789342	2670	340.491	-0.000020279999999997522	-1	0.0671047	-0.11131316899999977	0.16572550299999997	-0.19901979400000003	-1.413912325	0.08304777600000002	0.27439303600000003	-0.146212075	0	-257.687
0.02812478	1	0.0159536	3.15812371	0.238723959	1.702691114	5.830388694	0.240620163	0.214936627	0.196789342	2670	340.491	-0.000024109999999997328	-1	0.6378704	-1.1976375959999999	0.156497988	-0.8464001050000001	-0.8082597059999994	0.144685701	-0.21505865400000002	0.14514456899999997	0	-188.75699999999998
0.02812478	1	0.0159536	3.15812371	0.238723959	1.702691114	5.830388694	0.240620163	0.132953466	0.196789342	2670	340.491	0.00003600000000000131	-1	0.0683399	-1.573955544	0.33955056800000005	-0.24198869600000017	-2.339929691	0.36436139199999995	-0.29704181500000004	0.25935528799999996	0	-307.69
0.02812478	1	0.0159536	3.15812371	0.238723959	1.702691114	5.830388694	0.240620163	0.192955049	0.196789342	2670	340.491	0.00004862000000000269	-1	0.21089039999999998	-1.438000521	0.20171143699999997	-0.540497395	-2.038907526	0.35901433000000005	-0.23704023200000002	0.3165448940000001	0	-296.169
0.02962938	1	0.0033398	2.614232505	0.262803443	1.607182137	7.355790613	0.274030592	0.506455719	0.118987321	2771	1565.234	-0.00002749000000000154	-1	0.221353	-0.08202080199999973	-0.04401541200000003	-0.05864590799999991	0.11827286699999995	-0.019269845000000008	-0.002688860000000015	-0.006663274999999996	0	196.51700000000005
0.02962938	1	0.0033398	2.614232505	0.262803443	1.607182137	7.355790613	0.274030592	0.52617939	0.118987321	2771	1565.234	-0.00030153999999999945	-1	0.2962638	-0.20503723699999998	-0.05766568700000002	-0.176507046	0.3104875170000003	-0.05728071400000001	0.01703481100000004	0.046253977000000016	0	569.886
0.02962938	1	0.0033398	2.614232505	0.262803443	1.607182137	7.355790613	0.274030592	0.553191857	0.118987321	2771	1565.234	-0.00034371000000000054	-1	0.3493446	-0.08471335899999977	-0.12072944300000002	0.25949026500000016	0.3155199829999997	-0.06543109100000002	0.04404727799999997	0.043388046	0	580.6579999999999
0.02962938	1	0.0033398	2.614232505	0.262803443	1.607182137	7.355790613	0.274030592	0.447943065	0.118987321	2771	1565.234	-0.00035357000000000097	-1	0.1647605	-0.07836554600000012	-0.05632186400000003	-0.15456330499999993	-0.010813193999999804	-0.023738678000000013	-0.06120151400000001	0.064019008	0	-16.833999999999833
0.02927404	1	0.0002375	2.242984308	0.19946527	1.381400586	7.603814216	0.219494953	0.447943065	0.174614325	2771	2005.832	0.000001769999999998162	-1	0.1678628	0.29288265099999977	0.007016308999999998	0.07121824599999993	-0.25883679699999984	0.03079696100000001	0.023603956999999953	0.008392004000000008	0	-457.432
0.02927404	1	0.0002375	2.242984308	0.19946527	1.381400586	7.603814216	0.219494953	0.553191857	0.174614325	2771	2005.832	0.000011629999999998586	-1	0.3524469	0.2865348380000001	-0.057391269999999994	0.485271816	0.06749637999999969	-0.010895452	0.12885274899999993	-0.012238957999999994	0	140.05999999999972
0.02927404	1	0.0002375	2.242984308	0.19946527	1.381400586	7.603814216	0.219494953	0.52617939	0.174614325	2771	2005.832	0.00005379999999999968	-1	0.2993661	0.1662109599999999	0.005672486000000004	0.04927450499999986	0.06246391400000029	-0.0027450749999999857	0.101840282	-0.009373026999999978	0	129.28799999999978
0.02927404	1	0.0002375	2.242984308	0.19946527	1.381400586	7.603814216	0.219494953	0.369484193	0.174614325	2771	2005.832	-0.000062050000000001	-1	0.172378	0.30270037799999994	-0.080651702	-0.03265576800000014	-0.4683546019999998	0.06490101600000003	-0.054854915000000004	0.05876684300000001	0	-750.1180000000002
0.02907134	1	0.018459	2.405726921	0.130526861	1.099315776	7.791245095	0.179721807	0.354965203	0.198825046	2771	2419.328	-0.00004607000000000222	-1	0.1610706	-0.37183129899999967	-0.01722805599999999	-0.17256408600000006	0.039968368000000254	-0.002033951000000006	-0.19743274899999996	0.02031702099999999	0	98.6550000000002
0.02907134	1	0.018459	2.405726921	0.130526861	1.099315776	7.791245095	0.179721807	0.357795653	0.198825046	2771	2419.328	0.00012614999999999849	-1	0.1830525	0.2580400250000001	0.277604351	-0.20345259500000012	-0.42387559500000016	0.055491771999999995	-0.19460229899999998	-0.017967647000000003	0	-835.865
0.02907134	1	0.018459	2.405726921	0.130526861	1.099315776	7.791245095	0.179721807	0.462532273	0.198825046	2771	2419.328	-0.00012745999999999938	-1	0.2977337	-0.024610800000000044	0.05721167500000002	-0.11716211800000009	-0.2932461719999999	-0.01567813200000001	-0.08986567899999998	-0.06398564000000001	0	-614.8999999999999
0.02907134	1	0.018459	2.405726921	0.130526861	1.099315776	7.791245095	0.179721807	0.413841286	0.198825046	2771	2419.328	0.0001298699999999972	-1	0.014636600000000003	0.15157854000000004	0.044999573000000015	0.29124245299999996	-0.5204034689999997	0.07798949399999999	-0.138556666	0.009298701999999992	0	-981.568
0.02737093	1	0.0037883	1.63123731	0.134446569	1.178573814	5.008820315	0.283754542	0.388269804	0.366184014	3420	149.728	0.00004775999999999739	-1	0.6242388	0.12616564400000008	0.09029205000000001	0.5020713350000001	0.5288327989999999	0.0033310719999999905	-0.57872329	0.12032225800000002	0	104.35299999999998
0.02737093	1	0.0037883	1.63123731	0.134446569	1.178573814	5.008820315	0.283754542	0.270567429	0.366184014	3420	149.728	0.00005627999999999883	-1	0.5853759000000001	0.02723806200000012	0.021497113000000012	0.08447977700000009	0.562942005	0.00025402400000001935	-0.696425665	0.118161566	0	113.16899999999998
0.02737093	1	0.0037883	1.63123731	0.134446569	1.178573814	5.008820315	0.283754542	0.263911337	0.366184014	3420	149.728	0.00006658999999999832	-1	0.8084462	0.726554975	-0.07441424399999999	-0.15992276900000002	-0.6763385040000003	0.045274919999999996	-0.703081757	-0.08312673300000001	0	-73.59500000000001
0.02737093	1	0.0037883	1.63123731	0.134446569	1.178573814	5.008820315	0.283754542	0.214922002	0.366184014	3420	149.728	0.00007441999999999865	-1	0.45008299999999996	0.8898587330000001	-0.041351340999999986	-0.03129855399999992	-0.3949679290000008	-0.056000557000000006	-0.752071092	-0.252882007	0	-48.85600000000001
0.02974324	1	0.0234963	0.842070214	0.190483082	1.183284119	6.661355895	0.489833805	-0.002076483	0.40891877	2621	781.61	-0.0001034100000000017	-1	0.8906117	0.047328692000000006	-0.164954101	-0.23151150300000012	-0.11526943699999936	0.008580438999999995	-0.180985662	0.027353057999999986	0	-85.09699999999998
0.02974324	1	0.0234963	0.842070214	0.190483082	1.183284119	6.661355895	0.489833805	0.228908886	0.40891877	2621	781.61	0.00010543000000000011	-1	0.31584969999999996	0.601969237	-0.026534825000000012	-0.05727827600000013	0.1768349210000002	-0.026390409000000004	0.049999707000000004	-0.052893898999999966	0	151.18999999999994
0.02974324	1	0.0234963	0.842070214	0.190483082	1.183284119	6.661355895	0.489833805	0.312912913	0.40891877	2621	781.61	0.00013093999999999953	-1	0.7109949	1.503410606	0.11882622699999998	0.7157598249999999	-0.7196069399999994	0.020413174000000034	0.134003734	-0.17034809199999998	0	-401.01
0.02974324	1	0.0234963	0.842070214	0.190483082	1.183284119	6.661355895	0.489833805	0.078911425	0.40891877	2621	781.61	0.00017628999999999909	-1	0.0384139	0.6528961019999999	-0.141636732	-0.08235872700000013	0.44986498799999985	-0.058332136000000034	-0.09999775400000001	-0.08450701199999999	0	444.033
0.02505229	1	0.0193926	3.958153693	0.109965636	1.538622754	2.304583096	0.133932136	0.676369863	0.242115769	2540	10.02	0.00014836000000000016	-1	0.5012569	-1.657826816	0.31469189799999997	-0.5738527779999999	-0.19315850799999978	0.02890079399999998	-0.335657628	-0.042357900000000004	0	-1.7599999999999998
0.02505229	1	0.0193926	3.958153693	0.109965636	1.538622754	2.304583096	0.133932136	2.021609538	0.242115769	2540	10.02	-0.00032878000000000074	-1	0.25889890000000004	0.8902394180000002	0.274535109	0.35857184799999997	0.1170287029999999	-0.02295912500000001	1.0095820469999999	0.10802627699999998	0	1.2439999999999998
0.02505229	1	0.0193926	3.958153693	0.109965636	1.538622754	2.304583096	0.133932136	0.480297398	0.242115769	2540	10.02	0.00040115999999999763	-1	0.3244443	-1.706600072	0.753974884	-0.5047695319999999	-0.19182767499999986	0.12298963900000001	-0.531730093	0.07828079699999999	0	-1.7489999999999988
