tics	cnt	avgprice	relTics	absTics
DELB	65	51.81515384615383	0.0001774795149277773	0.009230769230769235
CONN	65	1.830384615384615	0.0015166387671309597	0.002800000000000001
DECB	65	2.3133076923076925	0.0011951820592656938	0.002800000000000001
IBAB	65	10.64407692307692	0.00045598480009270275	0.004892307692307694
FOU	65	3.034307692307693	0.000926918765715744	0.002800000000000001
ENVI	65	2.079999999999999	0.0013461538461538448	0.002800000000000001
GENK	65	129.47184615384617	0.0003242413276694777	0.04199999999999997
BAR	65	56.62692307692306	0.00017674748701663692	0.010000000000000005
ACKB	65	92.46269230769231	0.00010816760861119652	0.010000000000000005
REA	65	21.36330769230769	0.00028151931108305925	0.006000000000000003
BEKB	65	28.33792307692306	0.00021134238750069957	0.006000000000000003
PIC	65	27.981076923076916	0.0002144427453343942	0.006000000000000003
COMB	65	230.24684615384612	0.00018268827603858944	0.04199999999999997
DIEG	65	112.1690769230769	0.0003734762018895282	0.04199999999999997
KBC	65	43.14376923076922	0.00013863197346511378	0.006000000000000003
VRAP	64	20	0.0003007812500000002	0.006015625000000003
RES	65	104.87861538461543	0.000394736236484203	0.04138461538461535
EXM	65	11.914769230769231	0.0005037686466175818	0.006000000000000003
SIP	65	62.05253846153846	0.00016118697052001614	0.010000000000000005
BNB	65	3453.2788461538457	0.000012162254880613986	0.04199999999999997
CMB	65	20.48546153846154	0.00029244406620839244	0.006000000000000003
WESB	65	17.802000000000003	0.0004385601832587879	0.004707692307692311
ATEB	65	39.24584615384614	0.00015293644946801196	0.006000000000000003
THR	65	19.16723076923077	0.00029803081067544097	0.005753846153846156
PAY	65	1.0151538461538467	0.0027418470122370564	0.002800000000000001
ASC	65	51.86892307692305	0.00019283810613732514	0.010000000000000005
OIM	65	0.6929999999999998	0.004214060244852598	0.002800000000000001
SOLB	65	117.58384615384621	0.0003571981660769178	0.04199999999999997
ANT	65	56.298923076923124	0.00017765605188467217	0.010000000000000005
CPINV	65	15.748384615384618	0.00038246455880889716	0.006000000000000003
GLOG	65	1.8202307692307693	0.0015275768497566777	0.002800000000000001
TERB	65	58.86707692307691	0.0001698984357400774	0.010000000000000005
IMMO	65	40.69330769230766	0.0001475868908391086	0.006000000000000003
GIMB	62	37.62072580645161	0.00015873864917186065	0.005967741935483874
