mypscore	random	sp	investment	zscore	q	tangibility	size	cashflow	leverage
0.02145106	0.0130557	1	0.319833625	3.75057191	0.702548917	0.323753121	2.8462457	0.475043783	0.009754398
0.02130838	0.013552	1	-0.000620117	2.54196304	0.456703278	0.533821478	2.439909284	0.008929679	0
0.02110589	0.0075623	1	-0.097083152	-1.143982169	1.644604795	0.100769958	3.793644793	0.613408794	0.930681255
0.01768733	0.0171814	1	0.194593046	1.374829042	1.262196472	0.486678375	7.89211579	0.259648452	0.179477598
0.01954461	0.003893	1	0.746449745	3.757305558	3.757682605	0.389244353	5.388185492	0.842478974	0.025949928
0.01925617	0.0109064	1	-0.011475578	1.625345175	0.857326079	0.517122246	5.480434736	0.054892993	0.520131194
0.02071479	0.0196732	1	0.163905325	-3.235325283	0.847940328	0.030712019	4.243439627	-8.504142012	0.302640458
0.02046873	0.0132951	1	0.887340206	3.460016984	1.196267274	0.449876477	3.947621783	0.516453608	0.311896858
0.02363993	0.0193355	1	0	-5.580881131	0.400731505	0.017456359	0.184818437	-24.42105263	0
0.02037155	0.0122163	1	0.055846422	-55.62066193	8.366538893	0.070680628	1.676722659	-14.5061082	1.23578908
0.0196765	0.0109177	1	0.318091155	0.88929736	1.061382281	0.440284214	4.981309465	0.251228008	0.410819346
0.02146395	0.0137133	1	-0.048087846	0.186026907	1.265047058	0.26635487	2.851804165	0.366338508	0.423292338
0.02117347	0.0024999	1	0.128309056	3.753901667	0.800698518	0.311747453	3.254706182	0.347055098	0
0.01803195	0.0066626	1	0.145206269	2.704679043	3.048765216	0.279440216	7.941045451	0.500995586	0.172297803
0.02179429	0.0186524	1	0.14075437	1.662307449	1.444007702	0.048638953	2.942120504	-0.143514259	0
0.02159679	0.0023071	1	0.708247423	4.447497416	2.728633832	0.039147688	3.400830648	6.187628866	0
0.02128777	0.0083772	1	0.083263831	1.540153191	0.601905173	0.353147419	2.919876621	0.083958855	0.260855494
0.01851903	0.0182182	1	0.130783303	2.361583004	1.819031601	0.405344554	6.829002073	0.278678652	0.1050507
0.01835429	0.0076629	1	0.083657138	2.047256267	1.496828089	0.119134707	7.795845693	0.83464561	0.165096746
0.01705408	0.0002863	1	0.126839373	0.817108332	1.253801074	0.297740072	9.417817849	0.226400882	0.41331253
0.01724562	0.0198784	1	0.047153924	0.376923077	0.913023189	0.272141372	9.171599544	-0.160660155	0.553014553
0.01960063	0.0121061	1	0.070337327	2.713151429	0.958140641	0.401439131	5.266455113	0.245545067	0.263410555
0.02031024	0.0133911	1	-0.080057075	2.222271077	1.088683443	0.254507104	4.55696685	-0.962718965	0.178332319
0.02019525	0.0109728	1	0.252240539	0.445032203	1.525281553	0.119702317	5.145900183	0.525934525	1.02558145
0.0219126	0.0165914	1	0.540983607	-12.60490648	2.035854471	0.0311299	2.054892669	-50.50819672	0.392006149
0.02086632	0.0095364	1	0.471008826	1.862583352	0.988430609	0.308908369	3.689903929	0.213719138	0.508279014
0.02047949	0.0145928	1	0.26302595	2.470497292	1.689663451	0.15462446	4.556777943	0.807913815	0.071056719
0.02086458	0.0040608	1	0.197183099	2.311492502	1.294043528	0.030055712	4.341517091	7.485186984	0.175492034
0.02057609	0.0020854	1	0.142846831	-3.198891298	0.631098559	0.475342753	3.353126958	0.05088783	0.414871293
0.02190935	0.0044659	1	0.277571826	2.142276089	0.777560942	0.122021364	2.681295464	0.368860056	0.210832649
0.02028995	0.0126042	1	0.30462845	2.677619985	0.69765678	0.44467934	4.126585848	0.155541401	0.131959462
