COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
UNITB,40000,28000,12000,36000,0,0,36000,4000,4000,0,4000,-3000,0,2000,0,23000,25000,21000,42000,4000,115000,0,0,0,0,0,0,199000,41000,111000,58000,95000,0,156000,51000,0,0,0,0,2000,-4000,0,1000,-2000,-2000,0,0,0,2000,0,0,0,-8000,0,-7000
SPA,54000,32000,23000,49000,0,0,49000,5000,5000,0,5000,0,0,3000,0,64000,0,42000,20000,0,126000,0,0,0,0,0,0,225000,29000,3000,86000,2000,0,119000,5000,13000,0,0,0,3000,6000,0,0,0,13000,-3000,0,0,-6000,0,0,0,1000,0,8000
RCUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,49000,59000,76000,313000,1000,0,0,0,0,0,805000,56000,426000,260000,370000,23000,650000,319000,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOTB,86000,52000,34000,75000,0,0,75000,11000,11000,0,11000,-1000,0,7000,0,12000,0,42000,17000,1000,71000,0,0,0,0,0,0,334000,34000,70000,119000,8000,0,163000,11000,167000,0,0,0,3000,1000,0,1000,1000,14000,-8000,0,0,-8000,0,0,0,-4000,0,2000
ZTS,54000,31000,23000,52000,0,0,52000,2000,2000,0,2000,0,0,1000,0,11000,0,58000,14000,0,94000,3000,0,0,0,0,0,163000,29000,14000,80000,3000,0,86000,50000,3000,0,0,0,1000,0,0,0,-3000,0,-2000,0,0,-3000,0,0,0,3000,0,1000
KEYW,2000,1000,1000,2000,0,0,2000,0,0,0,0,0,0,0,0,0,0,3000,1000,0,4000,0,0,0,0,0,0,24000,1000,4000,6000,2000,0,8000,13000,2000,0,0,0,0,0,0,0,-1000,-1000,0,0,0,0,0,0,0,1000,0,0
GBLB,191000,0,191000,9000,0,0,9000,183000,183000,0,183000,-12000,0,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIOE,81000,64000,17000,75000,0,0,75000,5000,5000,0,5000,-1000,0,5000,0,41000,37000,53000,85000,3000,219000,0,0,0,0,0,0,347000,29000,134000,75000,100000,0,195000,46000,114000,0,0,0,4000,4000,0,4000,0,14000,-1000,0,0,-11000,0,0,0,-3000,0,0
EVS,28000,7000,21000,20000,0,0,20000,8000,8000,0,8000,0,0,6000,0,17000,0,24000,17000,0,58000,9000,0,0,0,0,0,103000,6000,1000,27000,0,0,29000,8000,69000,0,0,0,1000,0,0,0,3000,9000,-2000,0,0,-2000,0,0,0,0,0,7000
BANI,1000,3000,-2000,5000,0,0,5000,-4000,-4000,0,-4000,-2000,0,-6000,0,4000,0,13000,152000,0,169000,40000,0,0,0,0,0,357000,21000,208000,40000,193000,0,241000,132000,0,0,0,0,0,-1000,0,0,0,0,0,0,0,17000,0,0,0,-16000,0,1000
