COMP,Total Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Research Development,Selling General and Administrative,Total Operating Expenses,Operating Income or Loss,Operating Income or Loss,Total Other Income/Expenses Net,Earnings Before Interest And Taxes,Interest Expense,Income Before Tax,Net Income From Continuing Ops,Net Income,Cash And Cash Equivalents,Short Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long Term Investments,Property Plant and Equipment,Goodwill,Intangible Assets,Accumulated Amortization,Other Assets,Total Assets,Accounts Payable,Short/Current Long Term Debt,Total Current Liabilities,Long Term Debt,Deferred Long Term Liability Charges,Total Liabilities,Common Stock,Retained Earnings,Total Stockholder Equity,Net Tangible Assets,Net Income,Depreciation,Changes In Accounts Receivables,Changes In Liabilities,Changes In Inventories,Changes In Other Operating Activities,Total Cash Flow From Operating Activities,Capital Expenditures,Investments,Other Cash flows from Investing Activities,Total Cash Flows From Investing Activities,Dividends Paid,Sale Purchase of Stock,Net Borrowings,Total Cash Flows From Financing Activities,Effect Of Exchange Rate Changes,Change In Cash and Cash Equivalents
UMI,2215000,2033000,182000,2138000,0,0,2138000,77000,77000,0,77000,0,0,46000,0,99000,0,719000,1106000,36000,1961000,223000,0,0,0,0,0,3512000,711000,314000,1350000,26000,54000,1789000,503000,1647000,0,0,0,31000,35000,0,64000,-64000,138000,-79000,0,0,-98000,0,0,0,-48000,5000,-3000
BEFB,37000,6000,30000,10000,0,0,10000,27000,27000,0,27000,-7000,0,18000,0,2000,0,19000,0,6000,27000,15000,0,0,0,0,0,2249000,25000,994000,357000,724000,0,1084000,983000,144000,0,0,0,0,0,0,0,6000,29000,0,0,0,-14000,0,0,0,-15000,0,0
NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,3000,1000,0,0,0,0,0,7000,0,0,1000,0,0,2000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLX,19000,14000,5000,18000,0,0,18000,2000,2000,0,2000,0,0,-1000,0,11000,188000,2000,0,1000,200000,0,0,0,0,0,0,214000,11000,1000,167000,0,0,167000,235000,-195000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIO,662000,634000,28000,667000,0,0,667000,-5000,-5000,0,-5000,-21000,0,-105000,0,173000,0,457000,774000,10000,1414000,89000,0,0,0,0,0,3365000,222000,1478000,837000,943000,0,2025000,537000,375000,0,0,0,22000,53000,0,-3000,46000,56000,-61000,0,0,-32000,0,0,0,48000,0,71000
ENGB,60000,55000,5000,60000,0,0,60000,0,0,0,0,0,0,0,0,3000,0,52000,35000,1000,91000,0,0,0,0,0,0,112000,33000,22000,59000,0,0,64000,3000,44000,0,0,0,1000,-4000,0,3000,0,2000,-1000,0,0,-1000,0,0,0,0,0,0
DELB,5338000,4063000,1275000,5163000,0,0,5163000,175000,175000,0,175000,-48000,0,100000,0,1149000,151000,622000,1353000,319000,3666000,46000,0,0,0,0,0,11596000,1993000,2809000,3142000,2019000,0,6520000,2865000,3677000,0,0,0,145000,0,0,0,213000,445000,-241000,0,0,-225000,0,0,0,-14000,-12000,194000
DECB,137000,98000,38000,127000,0,0,127000,9000,9000,0,9000,-2000,0,4000,0,22000,0,95000,77000,8000,203000,0,0,0,0,0,0,418000,64000,102000,153000,35000,0,214000,89000,0,0,0,0,6000,5000,0,1000,-2000,12000,-8000,0,0,-8000,0,0,0,-3000,-1000,-1000
IBAB,58000,34000,23000,58000,0,0,58000,0,0,0,0,-1000,0,-3000,0,29000,0,82000,73000,5000,188000,36000,0,0,0,0,0,282000,31000,47000,161000,41000,0,215000,64000,3000,0,0,0,0,-3000,0,15000,-1000,16000,0,0,0,6000,0,0,0,-18000,-1000,4000
FOU,8000,2000,5000,8000,0,0,8000,0,0,0,0,0,0,-2000,0,1000,0,6000,3000,0,9000,0,0,0,0,0,0,41000,5000,14000,16000,6000,0,24000,24000,0,0,0,0,0,0,0,0,0,0,-1000,0,0,-1000,0,0,0,1000,0,0
