quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	comp	totalrevenue	costofrevenue	grossprofit	operatingexpenses	researchdevelopment	sellinggeneralandadministrative	totaloperatingexpenses	operatingincomeorloss	v20	totalotherincomeexpensesnet	earningsbeforeinterestandtaxes	interestexpense	incomebeforetax	netincomefromcontinuingops	netincome	cashandcashequivalents	shortterminvestments	netreceivables	inventory	othercurrentassets	totalcurrentassets	longterminvestments	propertyplantandequipment	goodwill	intangibleassets	accumulatedamortization	otherassets	totalassets	accountspayable	shortcurrentlongtermdebt	totalcurrentliabilities	longtermdebt	deferredlongtermliabilitycharges	totalliabilities	commonstock	retainedearnings	totalstockholderequity	nettangibleassets	v50	depreciation	changesinaccountsreceivables	changesinliabilities	changesininventories	changesinotheroperatingactivitie	totalcashflowfromoperatingactivi	capitalexpenditures	investments	othercashflowsfrominvestingactiv	totalcashflowsfrominvestingactiv	dividendspaid	salepurchaseofstock	netborrowings	totalcashflowsfromfinancingactiv	effectofexchangeratechanges	changeincashandcashequivalents
3	DELHAIZE GROUP	BE0003562700	DELB	.15873016	63	51.784771	399405.44	3862.0793	20655834	DELB	5273000	4008000	1265000	5095000	0	0	5095000	178000	178000	0	178000	-50000	0	-44000	0	1000000	231000	571000	1318000	147000	3267000	55000	0	0	0	0	0	10967000	1858000	2580000	2656000	2046000	0	5970000	4991000	0	0	0	0	149000	0	0	0	29000	204000	-150000	0	0	5000	0	0	0	-367000	7000	-151000
3	ECONOCOM GROUP	BE0974266950	ECONB	1	63	7.5193324	98385.969	386.63492	739748.19	ECONB	486000	430000	56000	472000	0	0	472000	14000	14000	0	14000	-2000	0	8000	0	135000	0	743000	27000	32000	978000	18000	0	0	0	0	0	1515000	486000	311000	961000	174000	0	1240000	226000	16000	0	0	0	3000	0	0	0	-56000	-47000	-5000	0	0	-24000	0	0	0	63000	0	-8000
3	ELIA	BE0003822393	ELI	1	63	37.98587	44121.539	542.19049	1675193.1	ELI	191000	87000	104000	145000	0	0	145000	47000	47000	0	47000	-30000	0	47000	0	60000	0	272000	14000	16000	362000	837000	0	0	0	0	0	5471000	243000	2692000	454000	2675000	0	3265000	1516000	708000	0	0	0	27000	13000	0	0	34000	84000	-51000	0	0	-53000	0	0	0	-122000	0	-91000
3	EURONAV	BE0003816338	EURN	1	63	8.7711411	74461.352	299.30157	641821.5	EURN	95000	69000	26000	107000	0	0	107000	-12000	-12000	0	-12000	-7000	0	-23000	0	274000	0	155000	0	178000	608000	17000	0	0	0	0	0	2630000	143000	1104000	361000	886000	0	1255000	959000	385000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	EVS BROADC.EQUIPM.	BE0003820371	EVS	1	63	41.804317	42262.094	618.61902	1669292.4	EVS	36000	9000	27000	23000	0	0	23000	13000	13000	0	13000	0	0	9000	0	35000	0	29000	18000	1000	82000	9000	0	0	0	0	0	137000	8000	29000	42000	22000	0	66000	8000	67000	0	0	0	1000	5000	0	0	0	17000	-7000	0	0	-7000	0	0	0	2000	0	12000
3	EXMAR	BE0003808251	EXM	1	63	11.900641	58247.43	318.93649	693950.44	EXM	25000	23000	2000	26000	0	0	26000	0	0	0	0	-6000	0	38000	0	123000	10000	83000	0	2000	217000	166000	0	0	0	0	0	843000	60000	337000	77000	323000	0	407000	299000	187000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	UCB	BE0003739530	UCB	0	63	58.68158	206408.03	1897.3969	12115915	UCB	879000	281000	598000	742000	0	0	742000	137000	137000	0	137000	-49000	0	56000	0	638000	39000	1017000	625000	0	2319000	126000	0	0	0	0	0	9724000	1263000	2368000	2300000	1644000	0	5067000	2614000	2435000	0	0	0	56000	-7000	0	1000	13000	87000	-30000	0	0	-43000	0	0	0	-101000	1000	-56000
3	UMICORE	BE0003884047	UMI	1	63	35.426979	483398.38	2879.9841	17120866	UMI	2178000	1995000	183000	2119000	0	0	2119000	59000	59000	0	59000	-5000	0	43000	0	124000	0	882000	1095000	0	2101000	221000	0	0	0	0	0	3659000	1112000	327000	1474000	57000	0	1953000	503000	1674000	0	0	0	43000	0	0	0	17000	98000	-35000	0	0	-39000	0	0	0	-49000	2000	13000
3	VIOHALCO	BE0974271034	VIO	1	63	4.329411	28701.666	92.666664	124448.04	VIO	728000	678000	49000	731000	0	0	731000	-3000	-3000	0	-3000	-25000	0	-25000	0	111000	0	536000	788000	3000	1438000	87000	0	0	0	0	0	3426000	388000	1473000	931000	942000	0	2135000	537000	-24000	0	0	0	29000	-36000	0	-7000	36000	-9000	-44000	0	0	-35000	0	0	0	13000	0	-31000
3	WDP	BE0003763779	WDP	0	63	54.622559	12413.429	206.42857	677523.06	WDP	30000	5000	25000	7000	0	0	7000	24000	24000	0	24000	-7000	0	13000	0	2000	0	13000	0	6000	22000	25000	0	0	0	0	0	1410000	18000	803000	252000	564000	0	892000	325000	23000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	WERELDHAV B-SICAFI	BE0003724383	WEHB	0	57	93.410393	1270.6666	49.122807	118462.09	WEHB	9000	0	9000	2000	0	0	2000	8000	8000	0	8000	0	0	9000	0	3000	0	6000	0	0	9000	20000	0	0	0	0	0	647000	1000	155000	19000	140000	0	165000	294000	184000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	ZETES INDUSTRIES	BE0003827442	ZTS	1	63	21.593241	2831.5715	23.984127	61244.465	ZTS	59000	35000	24000	57000	0	0	57000	2000	2000	0	2000	0	0	1000	0	12000	0	63000	14000	0	102000	2000	0	0	0	0	0	173000	32000	15000	92000	1000	0	96000	50000	2000	0	0	0	1000	0	0	0	1000	4000	-2000	0	0	-3000	0	0	0	-1000	0	1000
3	SIPEF	BE0003898187	SIP	0	63	61.974545	2746.6985	48.523811	170180.66	SIP	79000	55000	24000	62000	0	0	62000	17000	17000	0	17000	0	0	17000	0	41000	0	56000	36000	3000	136000	81000	0	0	0	0	0	766000	25000	61000	133000	0	0	205000	67000	0	0	0	0	4000	0	0	0	0	17000	-11000	0	0	-9000	0	0	0	4000	0	12000
3	TER BEKE	BE0003573814	TERB	0	63	58.866768	471.92062	9.6984129	27818.699	TERB	100000	71000	28000	97000	0	0	97000	3000	3000	0	3000	0	0	2000	0	10000	0	56000	23000	0	89000	4000	0	0	0	0	0	231000	54000	57000	90000	33000	0	132000	53000	46000	0	0	0	4000	4000	0	1000	0	8000	-3000	0	0	-3000	0	0	0	-3000	0	1000
3	TESSENDERLO	BE0003555639	TESB	1	63	20.574728	48729.57	355.80951	1010464.3	TESB	388000	294000	94000	360000	0	0	360000	28000	28000	0	28000	-4000	0	14000	0	65000	0	184000	211000	4000	465000	23000	0	0	0	0	0	1051000	248000	264000	396000	167000	0	794000	261000	62000	0	0	0	16000	-4000	0	20000	-5000	45000	-15000	0	0	-11000	0	0	0	-24000	0	10000
3	TUBIZE-FIN	BE0003823409	TUB	.15873016	63	51.339996	10198.079	104.11111	522404.78	TUB	0	0	0	0	0	0	0	0	0	0	0	-2000	0	21000	0	30000	0	0	0	0	30000	1766000	0	0	0	0	0	1796000	0	219000	62000	158000	0	239000	236000	1412000	0	0	0	0	0	0	0	0	2000	0	0	0	35000	0	0	0	-21000	0	15000
2	GIMV	BE0003699130	GIMB	0	63	37.299622	19539.381	262.60318	728963.38	GIMB	-42000	-29000	-12000	-61000	0	0	-61000	19000	19000	0	19000	0	0	3000	0	41000	15000	23000	0	6000	86000	795000	0	0	0	0	0	1027000	1000	0	14000	0	0	24000	270000	722000	0	0	0	-2000	4000	0	1000	0	7000	6000	0	0	-32000	0	0	0	2000	0	-24000
2	RTL GROUP	LU0061462528	RTL	0	63	89.13723	23405.857	303.79364	2100147	RTL	1313000	433000	880000	1125000	0	0	1125000	188000	188000	0	188000	-11000	0	110000	0	609000	0	1834000	16000	1013000	3472000	350000	0	0	0	0	0	7685000	2583000	567000	2891000	526000	0	4021000	192000	0	0	0	0	57000	0	0	0	0	205000	-18000	0	0	-130000	0	0	0	-20000	-1000	54000
2	BPOST	BE0974268972	BPOST	0	63	14.965132	472374.72	1320.7142	7069742	BPOST	622000	438000	185000	473000	0	0	473000	150000	150000	0	150000	-3000	0	99000	0	815000	0	297000	10000	0	1122000	374000	0	0	0	0	0	2217000	851000	87000	976000	76000	0	1512000	364000	99000	0	0	0	21000	81000	0	0	-2000	385000	-9000	0	0	-17000	0	0	0	-1000	0	367000
2	COFINIMMO	BE0003593044	COFB	0	63	86.508667	34173.445	717.36505	2952060.5	COFB	69000	20000	49000	21000	0	0	21000	48000	48000	0	48000	-16000	0	2000	0	16000	0	33000	0	34000	83000	23000	0	0	0	0	0	3652000	57000	1749000	656000	1191000	0	1973000	1318000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	COLRUYT	BE0974256852	COLR	0	63	39.945717	160140.83	1459.0159	6344829.5	COLR	2200000	1686000	514000	2082000	0	0	2082000	118000	118000	0	118000	0	0	87000	0	603000	17000	522000	575000	5000	1742000	160000	0	0	0	0	0	3722000	1047000	32000	1593000	11000	0	1755000	261000	1996000	0	0	0	49000	14000	0	-5000	2000	186000	-107000	0	0	-102000	0	0	0	-90000	0	-6000
