season	tic	treat	avg	COMP	Total_Revenue	Cost_of_Revenue	Gross_Profit	Operating_Expenses	Research_Development	Selling_General_and_Administrative	Total_Operating_Expenses	Operating_Income_or_Loss	Operating_Income_or_Loss	Total_Other_Income/Expenses_Net	Earnings_Before_Interest_And_Taxes	Interest_Expense	Income_Before_Tax	Net_Income_From_Continuing_Ops	Net_Income	Cash_And_Cash_Equivalents	Short_Term_Investments	Net_Receivables	Inventory	Other_Current_Assets	Total_Current_Assets	Long_Term_Investments	Property_Plant_and_Equipment	Goodwill	Intangible_Assets	Accumulated_Amortization	Other_Assets	Total_Assets	Accounts_Payable	Short/Current_Long_Term_Debt	Total_Current_Liabilities	Long_Term_Debt	Deferred_Long_Term_Liability_Charges	Total_Liabilities	Common_Stock	Retained_Earnings	Total_Stockholder_Equity	Net_Tangible_Assets	Net_Income	Depreciation	Changes_In_Accounts_Receivables	Changes_In_Liabilities	Changes_In_Inventories	Changes_In_Other_Operating_Activities	Total_Cash_Flow_From_Operating_Activities	Capital_Expenditures	Investments	Other_Cash_flows_from_Investing_Activities	Total_Cash_Flows_From_Investing_Activities	Dividends_Paid	Sale_Purchase_of_Stock	Net_Borrowings	Total_Cash_Flows_From_Financing_Activities	Effect_Of_Exchange_Rate_Changes	Change_In_Cash_and_Cash_Equivalents
2	DELB	0	49.997372047244056	DELB	5120000	3891000	1229000	4961000	0	0	4961000	159000	159000	0	159000	-47000	0	90000	0	1147000	219000	680000	1319000	277000	3642000	55000	0	0	0	0	0	11454000	1799000	2798000	2963000	2025000	0	6298000	5150000	0	0	0	0	144000	0	0	0	-154000	121000	-79000	0	0	-102000	0	0	0	-13000	-1000	5000
3	DELB	0	49.997372047244056	DELB	5273000	4008000	1265000	5095000	0	0	5095000	178000	178000	0	178000	-50000	0	-44000	0	1000000	231000	571000	1318000	147000	3267000	55000	0	0	0	0	0	10967000	1858000	2580000	2656000	2046000	0	5970000	4991000	0	0	0	0	149000	0	0	0	29000	204000	-150000	0	0	5000	0	0	0	-367000	7000	-151000
1	ELI	0	36.31807086614174	ELI	346000	183000	163000	260000	0	0	260000	86000	86000	0	86000	-31000	0	49000	0	438000	0	407000	16000	9000	870000	100000	0	0	0	0	0	6532000	227000	3199000	1478000	2626000	0	4323000	1516000	712000	0	0	0	34000	54000	0	0	29000	212000	-162000	0	0	-168000	0	0	0	0	0	44000
3	ELI	0	36.31807086614174	ELI	191000	87000	104000	145000	0	0	145000	47000	47000	0	47000	-30000	0	47000	0	60000	0	272000	14000	16000	362000	837000	0	0	0	0	0	5471000	243000	2692000	454000	2675000	0	3265000	1516000	708000	0	0	0	27000	13000	0	0	34000	84000	-51000	0	0	-53000	0	0	0	-122000	0	-91000
0	EVS	0	43.92884842519686	EVS	28000	7000	21000	20000	0	0	20000	8000	8000	0	8000	0	0	6000	0	17000	0	24000	17000	0	58000	9000	0	0	0	0	0	103000	6000	1000	27000	0	0	29000	8000	69000	0	0	0	1000	0	0	0	3000	9000	-2000	0	0	-2000	0	0	0	0	0	7000
1	EVS	0	43.92884842519686	EVS	39000	10000	28000	22000	0	0	22000	16000	16000	0	16000	0	0	11000	0	12000	0	33000	16000	3000	63000	9000	0	0	0	0	0	109000	5000	10000	30000	8000	0	40000	8000	65000	0	0	0	0	-10000	0	0	1000	3000	-2000	0	0	-2000	0	0	0	-7000	0	-6000
2	EVS	0	43.92884842519686	EVS	29000	7000	22000	19000	0	0	19000	10000	10000	0	10000	0	0	7000	0	23000	0	33000	18000	0	74000	9000	0	0	0	0	0	123000	6000	9000	34000	8000	0	45000	8000	72000	0	0	0	1000	2000	0	-2000	4000	13000	-4000	0	0	-4000	0	0	0	2000	0	11000
3	EVS	0	43.92884842519686	EVS	36000	9000	27000	23000	0	0	23000	13000	13000	0	13000	0	0	9000	0	35000	0	29000	18000	1000	82000	9000	0	0	0	0	0	137000	8000	29000	42000	22000	0	66000	8000	67000	0	0	0	1000	5000	0	0	0	17000	-7000	0	0	-7000	0	0	0	2000	0	12000
1	MIKO	0	66.89711864406783	MIKO	36000	21000	16000	34000	0	0	34000	2000	2000	0	2000	0	0	2000	0	10000	0	27000	21000	1000	59000	0	0	0	0	0	0	118000	12000	26000	28000	12000	0	51000	5000	0	0	0	0	3000	3000	0	0	0	7000	-3000	0	0	-3000	0	0	0	0	0	4000
0	MONT	0	30.86252155511811	MONT	6000	0	6000	1000	0	0	1000	5000	5000	0	5000	-2000	0	2000	0	0	0	0	0	15000	15000	0	0	0	0	0	0	321000	0	177000	16000	177000	0	193000	128000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	MONT	0	30.86252155511811	MONT	9000	3000	6000	4000	0	0	4000	5000	5000	0	5000	-4000	0	4000	0	4000	0	8000	0	7000	19000	0	0	0	0	0	0	340000	2000	187000	42000	155000	0	201000	139000	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MONT	0	30.86252155511811	MONT	7000	0	6000	1000	0	0	1000	5000	5000	0	5000	-2000	0	2000	0	0	0	0	0	21000	21000	0	0	0	0	0	0	370000	0	184000	44000	184000	0	229000	141000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MONT	0	30.86252155511811	MONT	8000	2000	6000	3000	0	0	3000	5000	5000	0	5000	-2000	0	1000	0	4000	0	22000	0	0	26000	0	0	0	0	0	0	380000	7000	184000	46000	154000	0	199000	191000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	BEFB	0	52.35404527559055	BEFB	37000	6000	30000	10000	0	0	10000	27000	27000	0	27000	-7000	0	18000	0	2000	0	19000	0	6000	27000	15000	0	0	0	0	0	2249000	25000	994000	357000	724000	0	1084000	983000	144000	0	0	0	0	0	0	0	6000	29000	0	0	0	-14000	0	0	0	-15000	0	0
3	BEFB	0	52.35404527559055	BEFB	37000	6000	31000	8000	0	0	8000	29000	29000	0	29000	-6000	0	19000	0	1000	0	30000	0	4000	36000	19000	0	0	0	0	0	2319000	57000	1048000	434000	698000	0	1133000	972000	39000	0	0	0	0	0	0	0	-18000	5000	0	0	0	-17000	0	0	0	11000	0	0
0	COLR	0	40.210649606299214	COLR	2126000	1596000	530000	1999000	0	0	1999000	127000	127000	0	127000	-2000	0	88000	0	615000	22000	550000	565000	2000	1754000	157000	0	0	0	0	0	3645000	1016000	31000	1678000	28000	0	1828000	249000	1822000	0	0	0	47000	-26000	0	-7000	0	117000	-62000	0	0	-59000	0	0	0	-3000	0	55000
1	COLR	0	40.210649606299214	COLR	2200000	1686000	514000	2082000	0	0	2082000	118000	118000	0	118000	0	0	87000	0	603000	17000	522000	575000	5000	1742000	160000	0	0	0	0	0	3722000	1047000	32000	1593000	11000	0	1755000	261000	1996000	0	0	0	49000	14000	0	-5000	2000	186000	-107000	0	0	-102000	0	0	0	-90000	0	-6000
