quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover
4	ECONOCOM GROUP	BE0974266950	ECONB	1	67	6.9877258826019375	76311.05970149254	313.2835820895522	535462.0400000003
4	ELIA	BE0003822393	ELI	1	67	37.01595219429723	30774.68656716418	429.4925373134328	1142959.2356716418
4	EURONAV	BE0003816338	EURN	1	67	9.207397436982607	85481.4328358209	306.97014925373134	785647.1414925369
4	EVS BROADC.EQUIPM.	BE0003820371	EVS	1	67	34.565448189213726	26231.462686567163	402.4776119402985	867847.0902985076
4	EXMAR	BE0003808251	EXM	1	67	11.591656897832625	50647.91044776119	251.8955223880597	581690.9577611941
4	FAGRON	BE0003874915	FAGR	1	67	40.93445511952598	62148.253731343284	689.8955223880597	2559141.784776119
4	FLUXYS BELGIUM D	BE0974265945	FLUX	1	65	27.817226697595437	2251.646153846154	21.83076923076923	62103.66676923076
4	BEKAERT	BE0974258874	BEKB	1	67	27.796062535324463	76705.73134328358	732.8507462686567	2127770.362985075
4	BELGACOM	BE0003810273	BELG	1	67	25.807558820451806	650343.1791044776	2919.3432835820895	16806532.13328358
4	BPOST	BE0974268972	BPOST	1	67	18.843123173583827	243133.4776119403	1121.089552238806	4588136.544328359
4	BREDERODE	LU1068091351	BREB	1	67	28.96445947763556	6052.731343283582	50.343283582089555	175727.28671641796
4	CARDIO3 BIO	BE0974260896	CARD	1	67	39.3177085957995	17179.880597014926	226.6865671641791	683997.2623880596
4	CFE	BE0003883031	CFEB	0	67	76.77653980958351	10463.970149253732	236.37313432835822	807291.4556716415
4	CMB	BE0003817344	CMB	1	67	17.991318908706436	12687.298507462687	111.85074626865672	226674.75656716424
4	COFINIMMO	BE0003593044	COFB	0	67	91.57692850335381	29645.119402985074	751.4776119402985	2698276.0758208963
4	COLRUYT	BE0974256852	COLR	1	67	36.65407001870167	151005.62686567163	1234.1044776119404	5522375.72761194
4	CONNECT GROUP	BE0003786036	CONN	1	67	1.7566133216057334	1593.9850746268658	3.8656716417910446	2831.3780597014925
4	UCB	BE0003739530	UCB	0	67	68.34214074852446	255296.44776119402	2633.731343283582	17644366.88089552
4	UMICORE	BE0003884047	UMI	1	67	35.70874106616256	363258.9552238806	2440.9850746268658	12966262.95597015
4	VAN DE VELDE	BE0003839561	VAN	1	67	39.03446157886114	5790.686567164179	63.52238805970149	225622.94194029854
4	VASTNED RETAIL BEL	BE0003754687	VASTB	0	67	55.4163053429098	479.5970149253731	8.865671641791044	26533.341791044782
4	VGP	BE0003878957	VGP	1	67	18.67598338907942	501.3731343283582	3.8208955223880596	9479.954626865672
4	VIOHALCO	BE0974271034	VIO	1	67	4.072568165046456	14230.164179104477	52.492537313432834	57340.74492537313
