season	tic	treat	vol	trades	VPT	tic_symbol	at
0	64	0	103020	1438	71.64116828929068	IMMO	13000
1	64	1	118145	1597	73.97933625547903	IMMO	13000
0	66	0	257758	1657	155.55703077851538	JEN	19000
1	66	1	220845	1111	198.78037803780379	JEN	19000
0	67	0	67544369	427788	157.8921545251386	KBC	158991000
1	67	1	60789557	405688	149.84312328686084	KBC	158991000
0	68	0	4252644	30624	138.86637931034483	KBCA	0
1	68	1	2780233	24450	113.71096114519428	KBCA	0
0	69	0	900054	590	1525.5152542372882	KEYW	2000
1	69	1	385691	393	981.4020356234097	KEYW	2000
0	70	0	968170	6109	158.48256670486168	KIN	48000
1	70	1	722805	6255	115.55635491606715	KIN	48000
0	71	0	202421	3618	55.948313985627415	SIP	25000
1	71	0	173042	3057	56.605168465816156	SIP	25000
0	73	0	731041	16356	44.69558571777941	SOF	0
1	73	0	549629	11560	47.54576124567474	SOF	0
0	74	0	6098499	68830	88.60233909632427	TNET	165000
1	74	1	6500875	61522	105.66748480218459	TNET	165000
0	75	0	28213	615	45.87479674796748	TERB	54000
1	75	0	29731	611	48.659574468085104	TERB	54000
0	76	0	4350845	25311	171.89542096321756	TESB	248000
1	76	1	3069963	22416	136.95409528907922	TESB	248000
0	77	0	34890	502	69.5019920318725	TEXF	4000
1	77	1	40569	662	61.28247734138973	TEXF	4000
0	78	0	10580231	68004	155.58248044232693	THR	7000
1	78	1	13747801	72254	190.27044869488194	THR	7000
0	79	0	225544712	35738	6311.061391236219	TIG	2000
1	79	1	50090633	15581	3214.8535395674216	TIG	2000
0	80	0	791420	9699	81.59810289720589	TUB	0
1	80	0.15789473684210525	642479	6559	97.95380393352646	TUB	0
0	81	0	18594832	169392	109.77396807405309	UCB	1263000
1	81	0	13003706	119536	108.78485142551197	UCB	1263000
0	82	0	36842053	245795	149.88935088183243	UMI	1112000
1	82	1	30454098	181439	167.84758513880698	UMI	1112000
0	83	0	528034	5095	103.63768400392541	VAN	0
1	83	1	278657	3428	81.28850641773629	VAN	0
0	85	0	14429	161	89.62111801242236	VGP	6000
1	85	1	18360	185	99.24324324324324	VGP	6000
0	86	0	3319487	9538	348.0275739148668	VIO	388000
1	86	1	1808205	5838	309.73021582733816	VIO	388000
0	88	0	764801	11283	67.78347957103607	WDP	18000
1	88	0	782046	13005	60.13425605536332	WDP	18000
0	89	0	82644	3157	26.178017104846372	WEHB	1000
1	89	0	76856	2999	25.627209069689897	WEHB	1000
0	90	0	595491	370	1609.4351351351352	ZENT	16000
1	90	1	650790	339	1919.7345132743362	ZENT	16000
0	91	0	287757	2015	142.8074441687345	ZTS	32000
1	91	1	178389	1511	118.06022501654533	ZTS	32000
