season	tic	treat	vol	trades	VPT	tic_symbol
1	75	0	29731	611	48.659574468085104	TERB
0	76	0	4350845	25311	171.89542096321756	TESB
1	76	1	3069963	22416	136.95409528907922	TESB
0	77	0	34890	502	69.5019920318725	TEXF
1	77	1	40569	662	61.28247734138973	TEXF
0	78	0	10580231	68004	155.58248044232693	THR
1	78	1	13747801	72254	190.27044869488194	THR
0	79	0	225544712	35738	6311.061391236219	TIG
1	79	1	50090633	15581	3214.8535395674216	TIG
0	80	0	791420	9699	81.59810289720589	TUB
1	80	0.15789473684210525	642479	6559	97.95380393352646	TUB
0	81	0	18594832	169392	109.77396807405309	UCB
1	81	0	13003706	119536	108.78485142551197	UCB
0	82	0	36842053	245795	149.88935088183243	UMI
1	82	1	30454098	181439	167.84758513880698	UMI
0	83	0	528034	5095	103.63768400392541	VAN
1	83	1	278657	3428	81.28850641773629	VAN
0	84	0	58861	855	68.84327485380118	VASTB
1	84	0	69826	827	84.4328899637243	VASTB
0	85	0	14429	161	89.62111801242236	VGP
1	85	1	18360	185	99.24324324324324	VGP
0	86	0	3319487	9538	348.0275739148668	VIO
1	86	1	1808205	5838	309.73021582733816	VIO
0	87	0	48739	507	96.13214990138067	WEB
1	87	0	30558	379	80.62796833773088	WEB
0	88	0	764801	11283	67.78347957103607	WDP
1	88	0	782046	13005	60.13425605536332	WDP
0	89	0	82644	3157	26.178017104846372	WEHB
1	89	0	76856	2999	25.627209069689897	WEHB
0	90	0	595491	370	1609.4351351351352	ZENT
1	90	1	650790	339	1919.7345132743362	ZENT
0	91	0	287757	2015	142.8074441687345	ZTS
1	91	1	178389	1511	118.06022501654533	ZTS
