quarter	name	isin	symbol	treat	cnt	avg	shares	trades	turnover	COMP	Total Revenue	Cost of Revenue	Gross Profit	Operating Expenses	Research Development	Selling General and Administrative	Total Operating Expenses	Operating Income or Loss	Operating Income or Loss	Total Other Income/Expenses Net	Earnings Before Interest And Taxes	Interest Expense	Income Before Tax	Net Income From Continuing Ops	Net Income	Cash And Cash Equivalents	Short Term Investments	Net Receivables	Inventory	Other Current Assets	Total Current Assets	Long Term Investments	Property Plant and Equipment	Goodwill	Intangible Assets	Accumulated Amortization	Other Assets	Total Assets	Accounts Payable	Short/Current Long Term Debt	Total Current Liabilities	Long Term Debt	Deferred Long Term Liability Charges	Total Liabilities	Common Stock	Retained Earnings	Total Stockholder Equity	Net Tangible Assets	Net Income	Depreciation	Changes In Accounts Receivables	Changes In Liabilities	Changes In Inventories	Changes In Other Operating Activities	Total Cash Flow From Operating Activities	Capital Expenditures	Investments	Other Cash flows from Investing Activities	Total Cash Flows From Investing Activities	Dividends Paid	Sale Purchase of Stock	Net Borrowings	Total Cash Flows From Financing Activities	Effect Of Exchange Rate Changes	Change In Cash and Cash Equivalents
3	RHJ INTERNATIONAL	BE0003815322	RHJI	1	63	3.5734940921412157	74149.55555555556	128.4126984126984	266958.379047619	RHJI	91000	11000	80000	78000	0	0	78000	13000	13000	0	13000	-20000	0	54000	0	204000	0	3764000	0	12000	4624000	4581000	0	0	0	0	0	9478000	0	2556000	906000	1832000	0	8642000	539000	72000	0	0	0	1000	0	0	0	-51000	-58000	-1000	0	0	-89000	0	0	0	88000	9000	-49000
3	ROULARTA	BE0003741551	ROU	1	63	12.986392860263525	1560.7777777777778	13.317460317460318	20266.549682539677	ROU	121000	116000	5000	120000	0	0	120000	1000	1000	0	1000	-2000	0	1000	0	34000	17000	127000	9000	11000	199000	131000	0	0	0	0	0	789000	122000	119000	243000	116000	0	489000	203000	107000	0	0	0	3000	2000	0	0	6000	8000	-1000	0	0	1000	0	0	0	-3000	0	6000
3	RTL GROUP	LU0061462528	RTL	0	63	79.63818753113634	22971.14285714286	263.85714285714283	1804505.5755555553	RTL	1374000	419000	955000	1065000	0	0	1065000	309000	309000	0	309000	-7000	0	137000	0	334000	0	1827000	19000	1057000	3237000	356000	0	0	0	0	0	7340000	2624000	834000	3161000	525000	0	4297000	192000	0	0	0	0	40000	0	0	0	-65000	196000	-19000	0	0	14000	0	0	0	-481000	4000	-267000
3	SAPEC	BE0003625366	SAP	1	63	45.27978792436797	170.984126984127	4.603174603174603	7753.657142857143	SAP	121000	116000	5000	116000	0	0	116000	5000	5000	0	5000	-4000	0	0	0	16000	0	103000	80000	10000	209000	1000	0	0	0	0	0	368000	67000	179000	154000	104000	0	272000	44000	0	0	0	0	2000	-7000	0	5000	0	0	-4000	0	0	-4000	0	0	0	2000	0	-2000
3	GBL	BE0003797140	GBLB	0	63	75.11683758978191	88724.92063492064	1096.031746031746	6644942.971746032	GBLB	1412000	322000	1090000	892000	0	0	892000	520000	520000	0	520000	0	0	472000	0	936000	0	629000	667000	528000	3451000	12818000	0	0	0	0	0	19580000	473000	3218000	1389000	2813000	0	5052000	4469000	6344000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	GLOBAL GRAPHICS	FR0004152221	GLOG	1	62	1.8175940312381749	11551.564516129032	12.32258064516129	21098.34822580645	GLOG	3000	0	3000	2000	0	0	2000	0	0	0	0	0	0	0	0	2000	0	2000	0	0	4000	0	0	0	0	0	0	16000	0	0	2000	0	0	2000	4000	19000	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0
3	HAMON	BE0003700144	HAMO	1	63	15.040079714093665	2791.4603174603176	20.904761904761905	42493.55126984128	HAMO	148000	127000	21000	145000	0	0	145000	3000	3000	0	3000	-3000	0	1000	0	163000	0	233000	15000	1000	429000	3000	0	0	0	0	0	577000	168000	230000	527000	2000	0	546000	16000	10000	0	0	0	2000	0	0	0	0	-1000	-1000	0	0	-2000	0	0	0	24000	0	22000
3	HOME INV.BELG-SIFI	BE0003760742	HOMI	0	63	79.80465160357903	1064.6984126984128	18.238095238095237	84299.51603174602	HOMI	5000	2000	3000	2000	0	0	2000	3000	3000	0	3000	-1000	0	5000	0	3000	0	4000	0	7000	14000	0	0	0	0	0	0	342000	4000	128000	27000	107000	0	140000	102000	24000	0	0	0	0	0	0	0	-3000	0	0	0	0	2000	0	0	0	-2000	0	-1000
3	IBA	BE0003766806	IBAB	1	63	10.664683420891748	60178.71428571428	195.82539682539684	625999.5819047622	IBAB	49000	28000	22000	44000	0	0	44000	5000	5000	0	5000	-1000	0	2000	0	45000	0	57000	90000	7000	201000	36000	0	0	0	0	0	299000	38000	34000	166000	29000	0	209000	71000	10000	0	0	0	1000	3000	0	-4000	0	8000	-1000	0	0	2000	0	0	0	-1000	0	8000
3	IMMOBEL	BE0003599108	IMMO	1	63	40.655342866654806	1875.3174603174602	25.349206349206348	76151.33936507936	IMMO	10000	6000	4000	9000	0	0	9000	1000	1000	0	1000	-2000	0	11000	0	27000	0	13000	291000	22000	354000	73000	0	0	0	0	0	431000	13000	194000	108000	115000	0	225000	60000	145000	0	0	0	0	-1000	0	-3000	0	5000	0	0	0	0	0	0	0	0	0	5000
3	JENSEN-GROUP	BE0003858751	JEN	1	61	14.202109002784162	3620.409836065574	18.21311475409836	51180.71885245901	JEN	61000	55000	6000	55000	0	0	55000	6000	6000	0	6000	0	0	4000	0	13000	0	81000	30000	0	124000	0	0	0	0	0	0	154000	19000	10000	72000	3000	0	86000	37000	37000	0	0	0	0	0	0	0	-3000	2000	0	0	0	-1000	0	0	0	-4000	0	-2000
3	KBC	BE0003565737	KBC	1	63	43.072697050159825	964913.6031746032	6439.492063492064	41329420.82746032	KBC	1585000	0	1585000	935000	0	0	935000	650000	650000	0	0	0	0	317000	0	6047000	0	80000	0	3774000	28135000	64487000	0	0	0	0	0	252768000	158991000	35524000	174166000	24548000	0	237053000	6856000	0	0	0	0	63000	0	0	0	0	916000	0	0	0	256000	0	0	0	-3045000	-22000	-1895000
3	KBC ANCORA	BE0003867844	KBCA	1	63	25.725638529684733	44130.68253968254	388.0952380952381	1129582.8344444444	KBCA	9000	1000	9000	1000	0	0	1000	9000	9000	0	9000	-5000	0	-5000	0	0	0	0	0	0	0	2442000	0	0	0	0	0	2442000	0	401000	28000	375000	0	403000	2022000	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	KEYWARE TECH.	BE0003880979	KEYW	1	63	0.7021834846429391	6122.079365079365	6.238095238095238	4294.141904761905	KEYW	2000	1000	1000	2000	0	0	2000	0	0	0	0	0	0	0	0	0	0	4000	1000	0	5000	0	0	0	0	0	0	26000	2000	4000	7000	2000	0	10000	13000	3000	0	0	0	0	0	0	0	-1000	0	0	0	0	0	0	0	0	0	0	0
3	KINEPOLIS GROUP	BE0974274061	KIN	1	63	27.839775084477086	11473.095238095239	99.28571428571429	319992.4768253969	KIN	58000	40000	17000	47000	0	0	47000	10000	10000	0	10000	-2000	0	7000	0	13000	0	20000	3000	0	35000	0	0	0	0	0	0	297000	48000	111000	89000	74000	0	196000	20000	89000	0	0	0	5000	3000	0	0	0	10000	-3000	0	0	-4000	0	0	0	-9000	0	-3000
3	BEKAERT	BE0974258874	BEKB	1	63	28.32892916166952	58511.15873015873	626	1654773.8909523815	BEKB	804000	676000	129000	754000	0	0	754000	51000	51000	0	51000	-15000	0	40000	0	533000	10000	882000	618000	62000	2105000	170000	0	0	0	0	0	3724000	378000	1251000	1071000	860000	0	2179000	208000	1345000	0	0	0	42000	0	0	0	-62000	5000	-29000	0	0	-23000	0	0	0	89000	0	71000
3	BPOST	BE0974268972	BPOST	1	63	17.538565580407674	248390.87301587302	1020.9047619047619	4336546.398730158	BPOST	609000	431000	179000	469000	0	0	469000	140000	140000	0	140000	-10000	0	93000	0	771000	0	288000	10000	1000	1069000	406000	0	0	0	0	0	2194000	703000	86000	868000	75000	0	1406000	364000	192000	0	0	0	21000	8000	0	0	-3000	12000	-16000	0	0	-16000	0	0	0	-41000	0	-45000
3	BREDERODE	LU1068091351	BREB	1	63	28.506209428872157	7635.746031746032	47.42857142857143	216106.98285714287	BREB	67000	0	67000	0	0	0	0	67000	67000	0	67000	0	0	66000	0	39000	0	10000	0	0	49000	1198000	0	0	0	0	0	1252000	0	0	23000	0	0	23000	246000	0	0	0	0	0	0	0	0	0	9000	0	0	0	5000	0	0	0	-11000	0	3000
3	CARDIO3 BIO	BE0974260896	CARD	1	63	38.849740076677286	13286.42857142857	210.68253968253967	547065.1688888889	CARD	0	3000	-3000	3000	0	0	3000	-3000	-3000	0	-3000	0	0	-3000	0	35000	5000	0	0	2000	42000	0	0	0	0	0	0	52000	3000	0	4000	0	0	16000	82000	-42000	0	0	0	0	-1000	0	0	0	-4000	0	0	0	0	0	0	0	13000	0	9000
3	CFE	BE0003883031	CFEB	0	63	78.59197320684258	13512.142857142857	269.6666666666667	1065137.2331746032	CFEB	887000	535000	352000	840000	0	0	840000	46000	46000	0	46000	-10000	0	32000	0	428000	54000	1194000	123000	112000	1911000	222000	0	0	0	0	0	4032000	1020000	1006000	1870000	657000	0	2796000	841000	393000	0	0	0	54000	-69000	0	-2000	0	58000	-26000	0	0	-23000	0	0	0	-41000	1000	-5000
3	CMB	BE0003817344	CMB	1	63	20.496635260348047	19743.73015873016	130.57142857142858	403477.0003174605	CMB	130000	115000	14000	137000	0	0	137000	-7000	-7000	0	-7000	-6000	0	0	0	14000	4000	136000	0	0	154000	183000	0	0	0	0	0	1853000	76000	644000	156000	568000	0	786000	35000	1007000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	COFINIMMO	BE0003593044	COFB	0	63	88.88864258897887	39366.793650793654	884.5873015873016	3514942.8750793645	COFB	65000	12000	53000	13000	0	0	13000	51000	51000	0	51000	-3000	0	-61000	0	24000	0	37000	0	37000	102000	6000	0	0	0	0	0	3469000	70000	1650000	648000	1104000	0	1872000	1275000	-61000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	D&#039;IETEREN	BE0974259880	DIE	1	63	31.94500893377036	39885.857142857145	510.1904761904762	1273365.7722222223	DIE	1487000	1054000	433000	1435000	0	0	1435000	51000	51000	0	51000	-12000	0	34000	0	204000	235000	527000	572000	0	1548000	84000	0	0	0	0	0	3724000	708000	1048000	925000	852000	0	1971000	184000	1662000	0	0	0	30000	0	0	0	-10000	67000	-28000	0	0	-22000	0	0	0	-43000	0	2000
3	DECEUNINCK	BE0003789063	DECB	1	63	2.303323511998282	80698.53968253969	101.65079365079364	187534.92777777775	DECB	132000	96000	36000	130000	0	0	130000	2000	2000	0	2000	-4000	0	0	0	22000	0	113000	94000	7000	236000	0	0	0	0	0	0	455000	87000	113000	210000	16000	0	252000	89000	0	0	0	0	5000	-8000	0	-9000	1000	4000	-7000	0	0	-7000	0	0	0	2000	0	0
3	DELHAIZE GROUP	BE0003562700	DELB	0.15873015873015872	63	51.78477239962628	399405.44444444444	3862.0793650793653	20655834.345714286	DELB	5273000	4008000	1265000	5095000	0	0	5095000	178000	178000	0	178000	-50000	0	-44000	0	1000000	231000	571000	1318000	147000	3267000	55000	0	0	0	0	0	10967000	1858000	2580000	2656000	2046000	0	5970000	4991000	0	0	0	0	149000	0	0	0	29000	204000	-150000	0	0	5000	0	0	0	-367000	7000	-151000
3	DEXIA	BE0003796134	DEXB	1	63	0.039465610227449335	3992809.253968254	125.53968253968254	156366.9503174603	DEXB	-70000	0	-70000	102000	0	0	102000	-172000	-172000	0	0	0	0	-205000	0	9305000	0	188000	0	31235000	69753000	29643000	0	0	0	0	0	237993000	0	226713000	34012000	199481000	0	233953000	2440000	-329000	0	0	0	7000	0	0	0	4134000	3965000	-3000	0	0	196000	0	0	0	-16000	17000	4162000
3	ECONOCOM GROUP	BE0974266950	ECONB	1	63	7.519332453652588	98385.96825396825	386.63492063492066	739748.1779365082	ECONB	486000	430000	56000	472000	0	0	472000	14000	14000	0	14000	-2000	0	8000	0	135000	0	743000	27000	32000	978000	18000	0	0	0	0	0	1515000	486000	311000	961000	174000	0	1240000	226000	16000	0	0	0	3000	0	0	0	-56000	-47000	-5000	0	0	-24000	0	0	0	63000	0	-8000
3	ELIA	BE0003822393	ELI	1	63	37.98587224633886	44121.53968253968	542.1904761904761	1675193.1315873011	ELI	191000	87000	104000	145000	0	0	145000	47000	47000	0	47000	-30000	0	47000	0	60000	0	272000	14000	16000	362000	837000	0	0	0	0	0	5471000	243000	2692000	454000	2675000	0	3265000	1516000	708000	0	0	0	27000	13000	0	0	34000	84000	-51000	0	0	-53000	0	0	0	-122000	0	-91000
3	EURONAV	BE0003816338	EURN	1	63	8.771140914859751	74461.3492063492	299.3015873015873	641821.4758730158	EURN	95000	69000	26000	107000	0	0	107000	-12000	-12000	0	-12000	-7000	0	-23000	0	274000	0	155000	0	178000	608000	17000	0	0	0	0	0	2630000	143000	1104000	361000	886000	0	1255000	959000	385000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	EVS BROADC.EQUIPM.	BE0003820371	EVS	1	63	41.804318850683394	42262.09523809524	618.6190476190476	1669292.3388888892	EVS	36000	9000	27000	23000	0	0	23000	13000	13000	0	13000	0	0	9000	0	35000	0	29000	18000	1000	82000	9000	0	0	0	0	0	137000	8000	29000	42000	22000	0	66000	8000	67000	0	0	0	1000	5000	0	0	0	17000	-7000	0	0	-7000	0	0	0	2000	0	12000
3	EXMAR	BE0003808251	EXM	1	63	11.90064185175927	58247.42857142857	318.93650793650795	693950.4446031747	EXM	25000	23000	2000	26000	0	0	26000	0	0	0	0	-6000	0	38000	0	123000	10000	83000	0	2000	217000	166000	0	0	0	0	0	843000	60000	337000	77000	323000	0	407000	299000	187000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	FLUXYS BELGIUM D	BE0974265945	FLUX	1	62	29.283607619592782	2167.3548387096776	19.951612903225808	63256.47548387097	FLUX	143000	45000	98000	111000	0	0	111000	33000	33000	0	33000	-13000	0	13000	0	208000	114000	84000	41000	9000	456000	0	0	0	0	0	0	2846000	41000	1643000	161000	1551000	0	2128000	60000	667000	0	0	0	34000	4000	0	3000	3000	74000	-21000	0	0	-20000	0	0	0	-15000	0	38000
3	UCB	BE0003739530	UCB	0	63	58.68158085882934	206408.03174603175	1897.3968253968253	12115915.438095242	UCB	879000	281000	598000	742000	0	0	742000	137000	137000	0	137000	-49000	0	56000	0	638000	39000	1017000	625000	0	2319000	126000	0	0	0	0	0	9724000	1263000	2368000	2300000	1644000	0	5067000	2614000	2435000	0	0	0	56000	-7000	0	1000	13000	87000	-30000	0	0	-43000	0	0	0	-101000	1000	-56000
3	UMICORE	BE0003884047	UMI	1	63	35.426979140643944	483398.38095238095	2879.9841269841268	17120865.095079366	UMI	2178000	1995000	183000	2119000	0	0	2119000	59000	59000	0	59000	-5000	0	43000	0	124000	0	882000	1095000	0	2101000	221000	0	0	0	0	0	3659000	1112000	327000	1474000	57000	0	1953000	503000	1674000	0	0	0	43000	0	0	0	17000	98000	-35000	0	0	-39000	0	0	0	-49000	2000	13000
3	VAN DE VELDE	BE0003839561	VAN	1	63	38.81352815945421	4423.126984126984	54.41269841269841	171455.57523809528	VAN	54000	0	54000	38000	0	0	38000	15000	15000	0	15000	-8000	0	3000	0	0	0	0	0	91000	91000	0	0	0	0	0	0	176000	0	0	17000	0	0	21000	153000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	VGP	BE0003878957	VGP	1	63	18.144821899088154	291.42857142857144	2.9365079365079363	5272.579047619048	VGP	10000	1000	9000	2000	0	0	2000	8000	8000	0	8000	-2000	0	22000	0	19000	0	4000	0	70000	92000	0	0	0	0	0	0	424000	6000	185000	23000	168000	0	214000	113000	147000	0	0	0	0	0	0	0	0	-5000	0	0	0	-29000	0	0	0	4000	0	-30000
3	VIOHALCO	BE0974271034	VIO	1	63	4.329411101388545	28701.666666666668	92.66666666666667	124448.03523809522	VIO	728000	678000	49000	731000	0	0	731000	-3000	-3000	0	-3000	-25000	0	-25000	0	111000	0	536000	788000	3000	1438000	87000	0	0	0	0	0	3426000	388000	1473000	931000	942000	0	2135000	537000	-24000	0	0	0	29000	-36000	0	-7000	36000	-9000	-44000	0	0	-35000	0	0	0	13000	0	-31000
